Original Input,Canonical Name,Is Valid,Requires Review,Review Reason,Clusters,Cluster Names,Domain IDs,Domain Names
Luxury Brand Marketing,Luxury Brand Marketing,true,false,"",16; 17,"Digital Marketing & Growth; Brand, Content & Communications Strategy",3,"Sales, Marketing & Customer Success"
Resilience Training,Resilience Training,true,false,"",30; 33,"Learning & Development; Coaching, Mentoring & Training",5; 6,Human Resources & People Operations; Leadership & Professional Development
Clinical Device Support,Clinical Device Support,true,false,"",5; 53,IT Support & Network Administration; Health Informatics & Administration,1; 8,Technology & IT; Healthcare & Life Sciences
Retargeting,Retargeting,true,false,"",16,Digital Marketing & Growth,3,"Sales, Marketing & Customer Success"
Speed Efficiency,Speed Efficiency,false,false,"","","","",""
Atmospheric Dynamics,Atmospheric Dynamics,true,true,Cluster mapping uncertain,"","","",""
Microsoft Online Services,Microsoft Online Services,false,true,Too broad or domain-level,"","","",""
Stock Replenishment,Stock Replenishment,true,false,"",40; 62,Supply Chain & Logistics; Retail & E-Commerce Operations,7; 10,"Engineering, Manufacturing & Supply Chain; Hospitality, Retail & Events"
Grounded Theory,Grounded Theory,true,false,"",9; 18,UX/UI Design & Research; Market Research & Consumer Insights,2; 3,"Design & Creative; Sales, Marketing & Customer Success"
Crisis Support Assistance,Crisis Support,true,false,"",19; 59,"Customer Success, Service & Support; Community Outreach & Social Work",3; 9,"Sales, Marketing & Customer Success; Education & Human Services"
Security Event Analysis,Security Event Analysis,true,false,"",4,Cybersecurity & Information Security,1,Technology & IT
Dough Mixing,Dough Mixing,true,false,"",61,Culinary & Food Services,10,"Hospitality, Retail & Events"
Air Pollution Control,Air Pollution Control,true,false,"",42,"Health, Safety & Environment",7,"Engineering, Manufacturing & Supply Chain"
P&L Reporting,P&L Reporting,true,false,"",20; 21,Finance & Accounting; Business Analysis & Intelligence,4,"Business, Finance & Legal"
Montessori Curriculum,Montessori Curriculum,true,false,"",55; 56,Classroom Instruction & Tutoring; Curriculum & Instructional Design,9,Education & Human Services
Hair Texture Management,Hair Texture Management,true,true,Cluster mapping uncertain,"","","",""
Audio Programming,Audio Programming,true,false,"",1; 12; 13,"Software Development & Engineering; Audio, Video & Media Production; Game Design & Development",1; 2,Technology & IT; Design & Creative
Custom Integration,Custom Integration,false,true,"Too vague without context (e.g., Systems Integration)","","","",""
Board Advising,Board Advising,true,false,"",22; 31,Strategy & Business Management; Leadership & People Management,4; 6,"Business, Finance & Legal; Leadership & Professional Development"
Reactive Programming,Reactive Programming,true,false,"",1,Software Development & Engineering,1,Technology & IT
Syllabus Design,Syllabus Design,true,false,"",30; 56,Learning & Development; Curriculum & Instructional Design,5; 9,Human Resources & People Operations; Education & Human Services
Commercial Licensing,Commercial Licensing,true,false,"",15; 23,"Sales & Business Development; Legal, Risk & Compliance",3; 4,"Sales, Marketing & Customer Success; Business, Finance & Legal"
Powerpoint Presentation,Microsoft PowerPoint,true,false,"",21; 34,Business Analysis & Intelligence; Communication & Interpersonal Skills,4; 6,"Business, Finance & Legal; Leadership & Professional Development"
Product Stacking,Product Stacking,false,true,Ambiguous term; could refer to logistics or marketing,"","","",""
Grinding Skills,Grinding,true,false,"",39; 44,Manufacturing & Production Operations; Skilled Trades & Industrial Maintenance,7,"Engineering, Manufacturing & Supply Chain"
Application Process Management,Application Process Management,false,true,Ambiguous term; 'Application' context is unclear,"","","",""
Instrumental Instruction,Instrumental Instruction,true,false,"",33,"Coaching, Mentoring & Training",6,Leadership & Professional Development
Power BI Service,Power BI,true,false,"",3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
Cocktail Crafting,Mixology,true,false,"",61; 63,"Culinary & Food Services; Hotel, Travel & Tourism Management",10,"Hospitality, Retail & Events"
Dealer Networks,Dealer Network Management,true,false,"",15; 40,Sales & Business Development; Supply Chain & Logistics,3; 7,"Sales, Marketing & Customer Success; Engineering, Manufacturing & Supply Chain"
Perl Scripting,Perl,true,false,"",1; 2; 5,Software Development & Engineering; DevOps & Cloud Infrastructure; IT Support & Network Administration,1,Technology & IT
Expert Advice,Expert Advice,false,true,"Too vague, describes an outcome not a discrete skill","","","",""
Safety Consulting,Safety Consulting,false,true,"Describes a service or job function, not a discrete skill","","","",""
Health Education,Health Education,true,false,"",52; 56,Public Health & Epidemiology; Curriculum & Instructional Design,8; 9,Healthcare & Life Sciences; Education & Human Services
Clinical Study Budgeting,Clinical Study Budgeting,true,false,"",20; 50,Finance & Accounting; Biomedical Science & Pharmaceutical Research,4; 8,"Business, Finance & Legal; Healthcare & Life Sciences"
Case Presentation,Case Presentation,true,false,"",34,Communication & Interpersonal Skills,6,Leadership & Professional Development
Professional Responsibility,Professional Responsibility,false,false,"","","","",""
Financial Surveillance,Financial Surveillance,true,false,"",20; 23,"Finance & Accounting; Legal, Risk & Compliance",4,"Business, Finance & Legal"
User Manuals,Technical Writing,true,true,Canonicalised from object to related skill,11,"Content Creation, Writing & Editing",2,Design & Creative
Forging,Forging,true,false,"",39; 44,Manufacturing & Production Operations; Skilled Trades & Industrial Maintenance,7,"Engineering, Manufacturing & Supply Chain"
Poetic Techniques,Creative Writing,true,true,"Canonicalised to broader, more common skill",11,"Content Creation, Writing & Editing",2,Design & Creative
Salary Structuring,Salary Structuring,true,false,"",27,Compensation & Benefits,5,Human Resources & People Operations
Lms Oversight,LMS Administration,true,false,"",6; 30,Enterprise Systems & Applications; Learning & Development,1; 5,Technology & IT; Human Resources & People Operations
Endowment Building,Fundraising,true,true,Canonicalised to more common skill name,15,Sales & Business Development,3,"Sales, Marketing & Customer Success"
Higher Education Administration,Higher Education Administration,false,true,"Broad domain or job function, not a discrete skill","","","",""
Bot Deployment,Bot Deployment,true,false,"",1; 2,Software Development & Engineering; DevOps & Cloud Infrastructure,1,Technology & IT
Cloud Native Technologies,Cloud-Native Technologies,false,true,"Broad technology category, not a discrete skill","","","",""
Mold Maintenance,Mould Maintenance,true,false,"",39; 44,Manufacturing & Production Operations; Skilled Trades & Industrial Maintenance,7,"Engineering, Manufacturing & Supply Chain"
Satellite Calibration,Satellite Calibration,true,false,"",38; 47,"Mechanical, Electrical & Civil Engineering; Aviation & Aerospace",7,"Engineering, Manufacturing & Supply Chain"
Project Visualization,Project Visualisation,true,false,"",32,Project & Program Management,6,Leadership & Professional Development
Routing & Switching,Routing and Switching,true,false,"",5,IT Support & Network Administration,1,Technology & IT
Hotel Contract Negotiation,Hotel Contract Negotiation,true,false,"",15; 63,"Sales & Business Development; Hotel, Travel & Tourism Management",3; 10,"Sales, Marketing & Customer Success; Hospitality, Retail & Events"
Wireline Conveyance,Wireline Conveyance,true,false,"",45,"Oil, Gas & Energy Engineering",7,"Engineering, Manufacturing & Supply Chain"
Wildlife Management,Wildlife Management,true,true,Cluster mapping uncertain,"","","",""
Vulnerability Scanning,Vulnerability Scanning,true,false,"",4,Cybersecurity & Information Security,1,Technology & IT
Automated Testing Tools,Automated Testing Tools,false,false,"","","","",""
Study Protocol Development,Study Protocol Development,true,false,"",50,Biomedical Science & Pharmaceutical Research,8,Healthcare & Life Sciences
Cybersecurity Research,Cybersecurity Research,true,false,"",4,Cybersecurity & Information Security,1,Technology & IT
Cargo Handling,Cargo Handling,true,false,"",40,Supply Chain & Logistics,7,"Engineering, Manufacturing & Supply Chain"
Scientific Advisory,Scientific Advisory,false,true,"Likely a role or function, not a discrete skill","","","",""
Fiber Optic Testing,Fibre Optic Testing,true,false,"",5,IT Support & Network Administration,1,Technology & IT
Tech Industry Trends,Technology Industry Trends,false,false,"","","","",""
Equipment Audits,Equipment Audits,true,true,Cluster mapping uncertain; context dependent,"","","",""
Dictionary Maintenance,Dictionary Maintenance,true,true,Cluster mapping uncertain; context dependent,"","","",""
Bibliographic Management,Bibliographic Management,true,false,"",60,Information & Library Science,9,Education & Human Services
Financial Research,Financial Research,true,false,"",20; 21,Finance & Accounting; Business Analysis & Intelligence,4,"Business, Finance & Legal"
Strategic Compliance,Strategic Compliance,true,false,"",22; 23,"Strategy & Business Management; Legal, Risk & Compliance",4,"Business, Finance & Legal"
Peoplesoft Sqr,PeopleSoft SQR,true,false,"",6,Enterprise Systems & Applications,1,Technology & IT
Cash Application,Cash Application,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Art Software,Art Software,false,false,"","","","",""
Landing Pages,Landing Pages,false,true,"Term is an object, not a skill; implied skill is ambiguous","","","",""
Quality Inspections,Quality Inspection,true,false,"",43,Manufacturing Quality Control,7,"Engineering, Manufacturing & Supply Chain"
Pharmaceuticals,Pharmaceuticals,false,false,"","","","",""
Data Dictionary,Data Dictionary,true,true,"Term is an object, but implies a skill",3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
Search Engine Optimization (Seo),Search Engine Optimisation,true,false,"",16,Digital Marketing & Growth,3,"Sales, Marketing & Customer Success"
Content Collaboration,Content Collaboration,true,false,"",11; 34,"Content Creation, Writing & Editing; Communication & Interpersonal Skills",2; 6,Design & Creative; Leadership & Professional Development
Server Deployment,Server Deployment,true,false,"",2; 5,DevOps & Cloud Infrastructure; IT Support & Network Administration,1,Technology & IT
Mold Repair,Mould Repair,true,false,"",44,Skilled Trades & Industrial Maintenance,7,"Engineering, Manufacturing & Supply Chain"
Digital Compositing,Digital Compositing,true,false,"",10; 12,"Visual Design, Animation & 3D; Audio, Video & Media Production",2,Design & Creative
Lighting Cues,Lighting Cue Management,true,false,"",12; 64,"Audio, Video & Media Production; Event Planning & Management",2; 10,"Design & Creative; Hospitality, Retail & Events"
Rehearsal Discipline,Rehearsal Discipline,false,false,"","","","",""
Revenue Distribution,Revenue Distribution,true,false,"",20; 22,Finance & Accounting; Strategy & Business Management,4,"Business, Finance & Legal"
Equipment Design,Equipment Design,true,false,"",38,"Mechanical, Electrical & Civil Engineering",7,"Engineering, Manufacturing & Supply Chain"
Landscape Photography,Landscape Photography,true,false,"",14,Photography & Videography,2,Design & Creative
Food Systems,Food Systems,false,false,"","","","",""
Client Liaising,Client Liaison,true,false,"",15; 19; 34,"Sales & Business Development; Customer Success, Service & Support; Communication & Interpersonal Skills",3; 6,"Sales, Marketing & Customer Success; Leadership & Professional Development"
Hazardous Substances,Hazardous Substance Management,true,false,"",42,"Health, Safety & Environment",7,"Engineering, Manufacturing & Supply Chain"
Wax Carving,Wax Carving,true,true,Cluster mapping uncertain,"","","",""
Fitness Programs,Fitness Programme Design,true,false,"",65,"Sports, Fitness & Wellness",10,"Hospitality, Retail & Events"
Shipping Logistics,Shipping Logistics,true,false,"",40,Supply Chain & Logistics,7,"Engineering, Manufacturing & Supply Chain"
Forensic Psychiatry,Forensic Psychiatry,true,false,"",23; 49,"Legal, Risk & Compliance; Clinical Care & Nursing",4; 8,"Business, Finance & Legal; Healthcare & Life Sciences"
Upgrade Planning,Upgrade Planning,true,false,"",5; 6,IT Support & Network Administration; Enterprise Systems & Applications,1,Technology & IT
Innovation Encouragement,Innovation Encouragement,false,false,"","","","",""
Outdoor Navigation,Outdoor Navigation,true,true,Professional context unclear; cluster mapping uncertain,42; 46,"Health, Safety & Environment; Mining & Geosciences",7,"Engineering, Manufacturing & Supply Chain"
Roasting Profiles,Roasting Profile Management,true,false,"",61,Culinary & Food Services,10,"Hospitality, Retail & Events"
Specification Analysis,Specification Analysis,true,false,"",1; 21,Software Development & Engineering; Business Analysis & Intelligence,1; 4,"Technology & IT; Business, Finance & Legal"
Decision Recording,Decision Recording,false,true,Too granular; likely a sub-task of a broader skill,"","","",""
Photography Direction,Photography Direction,true,false,"",10; 14,"Visual Design, Animation & 3D; Photography & Videography",2,Design & Creative
Vocal Health Knowledge,Vocal Health Management,true,true,Cluster mapping depends heavily on professional context,12; 33; 51,"Audio, Video & Media Production; Coaching, Mentoring & Training; Allied Health & Therapeutic Services",2; 6; 8,Design & Creative; Leadership & Professional Development; Healthcare & Life Sciences
Wedding Coordinating,Wedding Planning,true,false,"",64,Event Planning & Management,10,"Hospitality, Retail & Events"
Truckload Shipping,Truckload Shipping,true,false,"",40,Supply Chain & Logistics,7,"Engineering, Manufacturing & Supply Chain"
Nutritional Standards,Nutritional Standards Application,true,false,"",51; 61,Allied Health & Therapeutic Services; Culinary & Food Services,8; 10,"Healthcare & Life Sciences; Hospitality, Retail & Events"
Unloading Materials,Unloading Materials,false,true,Too granular; likely a sub-task of a broader skill,"","","",""
File Formatting,File Formatting,false,true,Too broad and lacks professional context,"","","",""
Peoplesoft Upgrade,PeopleSoft Upgrade Management,true,false,"",6,Enterprise Systems & Applications,1,Technology & IT
HR Metrics,HR Metrics Analysis,true,false,"",21; 29,Business Analysis & Intelligence; HR Operations & Compliance,4; 5,"Business, Finance & Legal; Human Resources & People Operations"
Construction,Construction,false,false,"","","","",""
Product Education,Product Education,true,false,"",19; 30,"Customer Success, Service & Support; Learning & Development",3; 5,"Sales, Marketing & Customer Success; Human Resources & People Operations"
Wireless Solutions,Wireless Network Design,true,false,"",5,IT Support & Network Administration,1,Technology & IT
4G/5G Technology,4G/5G Technology,true,false,"",5,IT Support & Network Administration,1,Technology & IT
GMP Practices,Good Manufacturing Practice (GMP),true,false,"",43,Manufacturing Quality Control,7,"Engineering, Manufacturing & Supply Chain"
Distributed Control Systems,Distributed Control Systems,true,false,"",39,Manufacturing & Production Operations,7,"Engineering, Manufacturing & Supply Chain"
Qa Testing,Quality Assurance Testing,true,false,"",7,Software Quality Assurance,1,Technology & IT
Jvm Monitoring,JVM Monitoring,true,false,"",1; 2,Software Development & Engineering; DevOps & Cloud Infrastructure,1,Technology & IT
Store Communications,Store Communication,true,false,"",34; 62,Communication & Interpersonal Skills; Retail & E-Commerce Operations,6; 10,"Leadership & Professional Development; Hospitality, Retail & Events"
Construction Equipment Operation,Construction Equipment Operation,true,false,"",44,Skilled Trades & Industrial Maintenance,7,"Engineering, Manufacturing & Supply Chain"
Reliability,Reliability,false,true,"Trait, not a skill; too vague","","","",""
Self-Care Strategies,Self-Care Strategies,false,true,"Generally a personal life skill, not a professional competency","","","",""
Market Adaptability,Market Adaptability,false,false,"","","","",""
Salesforce Deployment,Salesforce Deployment,true,false,"",2; 6,DevOps & Cloud Infrastructure; Enterprise Systems & Applications,1,Technology & IT
Qt Framework,Qt Framework,true,false,"",1,Software Development & Engineering,1,Technology & IT
Civil Engineering Drafting,Civil Engineering Drafting,true,false,"",38,"Mechanical, Electrical & Civil Engineering",7,"Engineering, Manufacturing & Supply Chain"
Flexibility,Flexibility,false,false,"","","","",""
Basic Data Entry,Data Entry,true,false,"",21,Business Analysis & Intelligence,4,"Business, Finance & Legal"
Receiving Protocols,Receiving Protocols,true,false,"",40; 62,Supply Chain & Logistics; Retail & E-Commerce Operations,7; 10,"Engineering, Manufacturing & Supply Chain; Hospitality, Retail & Events"
Change Log Maintenance,Change Log Maintenance,true,false,"",1; 5,Software Development & Engineering; IT Support & Network Administration,1,Technology & IT
Postpartum Recovery,Postpartum Recovery,false,true,"Process or health topic, not a professional skill","","","",""
Risk Mitigation,Risk Mitigation,true,false,"",22; 23; 32,"Strategy & Business Management; Legal, Risk & Compliance; Project & Program Management",4; 6,"Business, Finance & Legal; Leadership & Professional Development"
Crisis Response Basics,Crisis Response,true,false,"",23; 31,"Legal, Risk & Compliance; Leadership & People Management",4; 6,"Business, Finance & Legal; Leadership & Professional Development"
African Affairs,African Affairs,false,false,"","","","",""
Captive Insurance,Captive Insurance,true,false,"",20; 23,"Finance & Accounting; Legal, Risk & Compliance",4,"Business, Finance & Legal"
Xerox Printers,Xerox Printer Operation,true,false,"",5,IT Support & Network Administration,1,Technology & IT
Digital Learning Tools,Digital Learning Tools,false,true,Too broad or domain-level,"","","",""
Orientation Skills,Employee Onboarding,true,false,"",29; 30,HR Operations & Compliance; Learning & Development,5,Human Resources & People Operations
Semiconductor Industry,Semiconductor Industry,false,false,"","","","",""
Enterprise Storage,Enterprise Storage Management,true,false,"",5,IT Support & Network Administration,1,Technology & IT
Responsive Design,Responsive Web Design,true,false,"",1; 9,Software Development & Engineering; UX/UI Design & Research,1; 2,Technology & IT; Design & Creative
Spritekit,SpriteKit,true,false,"",1; 13,Software Development & Engineering; Game Design & Development,1; 2,Technology & IT; Design & Creative
IELTS Strategies,IELTS Preparation,true,false,"",33; 55,"Coaching, Mentoring & Training; Classroom Instruction & Tutoring",6; 9,Leadership & Professional Development; Education & Human Services
Product Evangelism,Product Evangelism,true,false,"",15; 17,"Sales & Business Development; Brand, Content & Communications Strategy",3,"Sales, Marketing & Customer Success"
CAD Modeling,CAD Modelling,true,false,"",10; 38,"Visual Design, Animation & 3D; Mechanical, Electrical & Civil Engineering",2; 7,"Design & Creative; Engineering, Manufacturing & Supply Chain"
Squarespace,Squarespace,true,false,"",9; 16,UX/UI Design & Research; Digital Marketing & Growth,2; 3,"Design & Creative; Sales, Marketing & Customer Success"
Encouragement Skills,Encouragement,false,false,"","","","",""
Flexible Schedule,Flexible Schedule,false,false,"","","","",""
Age Diversity,Managing Age Diversity,true,false,"",36,"Diversity, Equity, Inclusion & Belonging",6,Leadership & Professional Development
Trading Partner Management,Trading Partner Management,true,false,"",24; 40,Procurement & Vendor Management; Supply Chain & Logistics,4; 7,"Business, Finance & Legal; Engineering, Manufacturing & Supply Chain"
Sales Coaching,Sales Coaching,true,false,"",15; 33,"Sales & Business Development; Coaching, Mentoring & Training",3; 6,"Sales, Marketing & Customer Success; Leadership & Professional Development"
Meeting Setup,Meeting Coordination,true,false,"",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Train Scheduling,Train Scheduling,true,false,"",40,Supply Chain & Logistics,7,"Engineering, Manufacturing & Supply Chain"
Incoterms Knowledge,Incoterms,true,false,"",24; 40,Procurement & Vendor Management; Supply Chain & Logistics,4; 7,"Business, Finance & Legal; Engineering, Manufacturing & Supply Chain"
Regulatory Advisement,Regulatory Advisory,true,false,"",23,"Legal, Risk & Compliance",4,"Business, Finance & Legal"
Borland C++,Borland C++,true,false,"",1,Software Development & Engineering,1,Technology & IT
Encryption Algorithms,Encryption Algorithms,true,false,"",1; 4,Software Development & Engineering; Cybersecurity & Information Security,1,Technology & IT
Body Work,Body Work,false,true,"Ambiguous term; could refer to automotive repair, massage therapy, or other fields","","","",""
Accommodations,Accommodations,false,false,"","","","",""
Salesforce.com Administration,Salesforce Administration,true,false,"",6; 19,"Enterprise Systems & Applications; Customer Success, Service & Support",1; 3,"Technology & IT; Sales, Marketing & Customer Success"
Office Hours Management,Office Hours Management,false,true,Too granular; likely a task within a role rather than a standalone skill,"","","",""
Startup Growth,Startup Growth,false,false,"","","","",""
Vegetation Maintenance,Vegetation Maintenance,true,true,Cluster mapping uncertain,"","","",""
Parts Sorting,Parts Sorting,false,true,Too granular; likely a task within a role rather than a standalone skill,"","","",""
GLP Compliance,GLP Compliance,true,false,"",23; 50,"Legal, Risk & Compliance; Biomedical Science & Pharmaceutical Research",4; 8,"Business, Finance & Legal; Healthcare & Life Sciences"
IPC Expertise,IPC,false,true,Unknown or ambiguous acronym,"","","",""
Case Study Analysis,Case Study Analysis,true,false,"",21,Business Analysis & Intelligence,4,"Business, Finance & Legal"
UI/UX Development,UI/UX Development,true,false,"",1; 9,Software Development & Engineering; UX/UI Design & Research,1; 2,Technology & IT; Design & Creative
Email Platforms,Email Platforms,false,true,"Category of tools, not a specific skill","","","",""
Social Media Communications,Social Media Communication,true,false,"",16; 17,"Digital Marketing & Growth; Brand, Content & Communications Strategy",3,"Sales, Marketing & Customer Success"
Feedback Analysis,Feedback Analysis,true,false,"",18; 19,"Market Research & Consumer Insights; Customer Success, Service & Support",3,"Sales, Marketing & Customer Success"
Astronomy,Astronomy,false,false,"","","","",""
Song Interpretation,Song Interpretation,true,true,Cluster mapping uncertain,12,"Audio, Video & Media Production",2,Design & Creative
Voc Analysis,Voice of the Customer Analysis,true,false,"",18; 19,"Market Research & Consumer Insights; Customer Success, Service & Support",3,"Sales, Marketing & Customer Success"
Ticket Processing,Ticket Processing,false,true,Too granular; likely a task within a role rather than a standalone skill,"","","",""
Systematic Reviews,Systematic Review,true,false,"",3; 18; 50; 52,"Data Science, Analytics & AI; Market Research & Consumer Insights; Biomedical Science & Pharmaceutical Research; Public Health & Epidemiology",1; 3; 8,"Technology & IT; Sales, Marketing & Customer Success; Healthcare & Life Sciences"
Trend Identification,Trend Identification,true,false,"",3; 18; 21; 22,"Data Science, Analytics & AI; Market Research & Consumer Insights; Business Analysis & Intelligence; Strategy & Business Management",1; 3; 4,"Technology & IT; Sales, Marketing & Customer Success; Business, Finance & Legal"
Order Management Systems,Order Management Systems,true,false,"",6; 40; 62,Enterprise Systems & Applications; Supply Chain & Logistics; Retail & E-Commerce Operations,1; 7; 10,"Technology & IT; Engineering, Manufacturing & Supply Chain; Hospitality, Retail & Events"
Educational Psychology,Educational Psychology,true,true,Borderline academic field vs. applied skill,30; 56; 57,Learning & Development; Curriculum & Instructional Design; Special Education & Student Support,5; 9,Human Resources & People Operations; Education & Human Services
Judgment Skills,Judgement,false,false,"","","","",""
Client Acquisitions,Client Acquisition,true,false,"",15,Sales & Business Development,3,"Sales, Marketing & Customer Success"
Salary,Salary,false,false,"","","","",""
Translation Memory Software,Translation Memory Software,true,false,"",37,Languages & Localization,6,Leadership & Professional Development
Leak Repairs,Leak Repair,true,false,"",25; 44,Real Estate & Property Management; Skilled Trades & Industrial Maintenance,4; 7,"Business, Finance & Legal; Engineering, Manufacturing & Supply Chain"
Insurance Software,Insurance Software,true,false,"",6; 20,Enterprise Systems & Applications; Finance & Accounting,1; 4,"Technology & IT; Business, Finance & Legal"
Lactation Support,Lactation Support,true,false,"",49; 51,Clinical Care & Nursing; Allied Health & Therapeutic Services,8,Healthcare & Life Sciences
Traffic Signal Design,Traffic Signal Design,true,false,"",38,"Mechanical, Electrical & Civil Engineering",7,"Engineering, Manufacturing & Supply Chain"
Compensation Advising,Compensation Advising,true,false,"",27,Compensation & Benefits,5,Human Resources & People Operations
Surveying Technology,Surveying Technology,true,false,"",38; 46,"Mechanical, Electrical & Civil Engineering; Mining & Geosciences",7,"Engineering, Manufacturing & Supply Chain"
Technical Machinery Operation,Technical Machinery Operation,false,true,Too broad or non-specific,"","","",""
Load Balancers,Load Balancing,true,false,"",2; 5,DevOps & Cloud Infrastructure; IT Support & Network Administration,1,Technology & IT
Guest Assistance,Guest Assistance,true,false,"",19; 63,"Customer Success, Service & Support; Hotel, Travel & Tourism Management",3; 10,"Sales, Marketing & Customer Success; Hospitality, Retail & Events"
Team Performance Analysis,Team Performance Analysis,true,false,"",21; 29; 31,Business Analysis & Intelligence; HR Operations & Compliance; Leadership & People Management,4; 5; 6,"Business, Finance & Legal; Human Resources & People Operations; Leadership & Professional Development"
Preventive Measures,Preventive Measures,false,true,Too broad or non-specific,"","","",""
School Selection,School Selection,true,true,Context unclear; could be personal activity or professional skill,57; 59,Special Education & Student Support; Community Outreach & Social Work,9,Education & Human Services
Crystal Xcelsius,Crystal Xcelsius,true,false,"",3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
CRM Application,CRM Application,false,true,"Too generic; refers to a category of software, not a specific skill","","","",""
Qt,Qt,true,false,"",1,Software Development & Engineering,1,Technology & IT
Collection Management,Collection Management,true,true,"Ambiguous term; could refer to debt, museum, or data collections",20,Finance & Accounting,4,"Business, Finance & Legal"
Temporary Placement,Temporary Placement,false,false,"","","","",""
Structural Fitting,Structural Fitting,true,false,"",38; 44,"Mechanical, Electrical & Civil Engineering; Skilled Trades & Industrial Maintenance",7,"Engineering, Manufacturing & Supply Chain"
Resource Planning,Resource Planning,true,false,"",22; 32,Strategy & Business Management; Project & Program Management,4; 6,"Business, Finance & Legal; Leadership & Professional Development"
Physical Ip Integration,Physical IP Integration,true,true,Highly specialised technical term; cluster mapping may be imprecise,38,"Mechanical, Electrical & Civil Engineering",7,"Engineering, Manufacturing & Supply Chain"
Geological Software,Geological Software,false,true,"Too generic; refers to a category of software, not a specific skill","","","",""
Client Assessments,Client Assessment,true,true,Cluster mapping uncertain due to ambiguous context,"","","",""
Tree Biology,Tree Biology,true,true,Borderline between academic knowledge and applied skill,42,"Health, Safety & Environment",7,"Engineering, Manufacturing & Supply Chain"
IEP Familiarity,Individualised Education Programme (IEP),true,false,"",57,Special Education & Student Support,9,Education & Human Services
Psoriasis Management,Psoriasis Management,true,false,"",49,Clinical Care & Nursing,8,Healthcare & Life Sciences
Nutrition,Nutrition,true,true,"Broad term, but accepted as a foundational skill in health/wellness contexts",51; 65,"Allied Health & Therapeutic Services; Sports, Fitness & Wellness",8; 10,"Healthcare & Life Sciences; Hospitality, Retail & Events"
Medication Awareness,Medication Management,true,true,Canonicalised from 'Awareness' to 'Management' to reflect an active skill,49; 51,Clinical Care & Nursing; Allied Health & Therapeutic Services,8,Healthcare & Life Sciences
Architecture Governance,Architecture Governance,true,false,"",6; 22,Enterprise Systems & Applications; Strategy & Business Management,1; 4,"Technology & IT; Business, Finance & Legal"
Pressure Control Methods,Pressure Control,true,false,"",45,"Oil, Gas & Energy Engineering",7,"Engineering, Manufacturing & Supply Chain"
Productivity,Productivity,false,false,"","","","",""
Quickbooks Online - Beginners,QuickBooks Online,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
Peoplecode,PeopleCode,true,false,"",1; 6,Software Development & Engineering; Enterprise Systems & Applications,1,Technology & IT
Program Strategy,Program Strategy,true,false,"",22; 32,Strategy & Business Management; Project & Program Management,4; 6,"Business, Finance & Legal; Leadership & Professional Development"
Cross-Contamination Awareness,Cross-Contamination Awareness,true,false,"",42,"Health, Safety & Environment",7,"Engineering, Manufacturing & Supply Chain"
Greenhouse Gases,Greenhouse Gases,false,false,"","","","",""
Business Turn-Arounds,Business Turnaround,true,false,"",22,Strategy & Business Management,4,"Business, Finance & Legal"
Forklift Driving,Forklift Operation,true,false,"",40; 44,Supply Chain & Logistics; Skilled Trades & Industrial Maintenance,7,"Engineering, Manufacturing & Supply Chain"
Trustee Ethics,Trustee Ethics,true,false,"",23,"Legal, Risk & Compliance",4,"Business, Finance & Legal"
Virtualization Automation,Virtualisation Automation,true,false,"",2,DevOps & Cloud Infrastructure,1,Technology & IT
JAVA Technologies,Java,true,false,"",1,Software Development & Engineering,1,Technology & IT
Non-Verbal Communication,Non-Verbal Communication,true,false,"",34,Communication & Interpersonal Skills,6,Leadership & Professional Development
Scholarship Advising,Scholarship Advising,true,false,"",33; 57,"Coaching, Mentoring & Training; Special Education & Student Support",6; 9,Leadership & Professional Development; Education & Human Services
Plumbing Systems,Plumbing,true,false,"",44,Skilled Trades & Industrial Maintenance,7,"Engineering, Manufacturing & Supply Chain"
Ethics And Confidentiality,Ethics and Confidentiality,true,false,"",23,"Legal, Risk & Compliance",4,"Business, Finance & Legal"
Account Expansion,Account Expansion,true,false,"",15; 19,"Sales & Business Development; Customer Success, Service & Support",3,"Sales, Marketing & Customer Success"
Amazon Ec2,Amazon EC2,true,false,"",2,DevOps & Cloud Infrastructure,1,Technology & IT
Wiring Standards,Wiring Standards,true,false,"",38; 44,"Mechanical, Electrical & Civil Engineering; Skilled Trades & Industrial Maintenance",7,"Engineering, Manufacturing & Supply Chain"
Child Welfare Principles,Child Welfare Principles,true,false,"",59,Community Outreach & Social Work,9,Education & Human Services
Embedded Systems Design,Embedded Systems Design,true,false,"",1; 38,"Software Development & Engineering; Mechanical, Electrical & Civil Engineering",1; 7,"Technology & IT; Engineering, Manufacturing & Supply Chain"
Signal Testing,Signal Testing,true,true,"Context-dependent skill (e.g., electronics vs. software)",7; 38,"Software Quality Assurance; Mechanical, Electrical & Civil Engineering",1; 7,"Technology & IT; Engineering, Manufacturing & Supply Chain"
